"Area","Topics","Difficulty","Resources","Key Takeaways","Exercise"
"Python","Basic Concepts & Installation","Beginner","Python documentation, ""Python Learning Roadmap in 30 Days"", online tutorials","Understanding Python's introduction, popularity, basic syntax, and core data types. Installing Python and setting up a development environment.","Install Python, write a ""Hello, World!"" program, and experiment with basic data types (strings, integers, floats)."
"Python","Conditional Statements & Loops","Beginner","Python documentation, online tutorials","Mastering conditional statements (if,elif,else) and logical operators. Gaining proficiency in using loops (forandwhile).","Write a program that checks if a number is prime, and another that prints the firstnFibonacci numbers."
"Python","Data Structures","Intermediate","Python documentation, online tutorials","Deepening knowledge of data structures like lists, tuples, and dictionaries. Practicing working with these structures through hands-on exercises.","Create a program that implements a simple to-do list, allowing users to add, remove, and view tasks."
"Python","Functions & Modules","Intermediate","Python documentation, online tutorials","Defining and utilizing functions in Python. Exploring basic Python modules (math,random,datetime).","Create a function that calculates the factorial of a number, and a program that uses thedatetimemodule to print the current date and time."
"Python","Object-Oriented Programming (OOP)","Intermediate","Python documentation, online tutorials","Understanding classes, objects, inheritance, and polymorphism.","Design a class representing aCarwith attributes likemodel,color, and methods forstart,stop, andaccelerate."
"Python","File I/O","Intermediate","Python documentation, online tutorials","Reading from and writing to files. Handling different file formats.","Write a program that reads data from a CSV file, processes it, and writes the results to another CSV file."
"Python","Web Scraping","Advanced","Beautiful Soup, Scrapy documentation","Extracting data from websites using libraries like Beautiful Soup and Scrapy.","Scrape data from a website of your choice and store it in a structured format (e.g., CSV, JSON)."
"Python","SQL Database Interaction","Advanced","sqlite3,psycopg2documentation","Connecting to and querying SQL databases with Python. Performing CRUD operations (Create, Read, Update, Delete).","Write a Python script that connects to a database, retrieves data, and displays it. Implement functions for adding, updating, and deleting records."
"Python","Advanced Concepts","Advanced","Fluent Pythonby Luciano Ramalho","Metaclasses, decorators, generators, context managers.","Implement a decorator for memoizing function results, and a context manager for handling database connections."
"Python","Asynchronous Programming","Advanced","""import asyncio"" video series by Lukasz Langa","Writing concurrent code usingasyncio. Understanding event loops, coroutines, and tasks.","Create an asynchronous web scraper that fetches data from multiple websites concurrently."
"Python","Web Frameworks","Advanced","FastAPI, Flask documentation","Building web applications and APIs using frameworks like FastAPI and Flask.","Build a RESTful API using FastAPI or Flask, with endpoints for creating, reading, updating, and deleting resources."
"Python","Data Science & Machine Learning","Advanced","pandas, matplotlib, scikit-learn documentation","Analyzing data, creating visualizations, and building machine learning models.","Perform data analysis on a dataset using pandas, create visualizations using matplotlib, and train a simple machine learning model using scikit-learn."
"Bash","Basic Commands","Beginner","Bash documentation, online tutorials, ""Chronological list of resources to learn Bash""","Navigating the file system, manipulating files and directories.","Practice using commands likecd,ls,mkdir,touch,rm,cp,mv,echo,cat,grep."
"Bash","Bash Scripting","Intermediate","Bash documentation, online tutorials,The Bash Guide for Beginners","Writing shell scripts to automate tasks. Understanding variables, loops, and conditional statements.","Create a script that automates the backup of important files to a different directory."
